NTD ID,Legacy NTD ID,Agency,Mode/Type of Service Status,Reporter Type,UACE CD,UZA Name,Mode,TOS,3 Mode,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
20096,2096,Putnam County ,Inactive,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ",TB,PT,Bus,,,,,"5,389 ",,,,,,,,,,,,,,,,,,,,
20098,2098,Port Authority Trans-Hudson Corporation,Inactive,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ",FB,PT,Ferry,0 ,0 ,"184,536 ","177,209 ","176,276 ","170,185 ","175,811 ","175,095 ","173,172 ","146,180 ","138,334 ","124,054 ","124,917 ","125,409 ","124,593 ","132,269 ","148,993 ","150,823 ","45,998 ",,,,,,
20098,2098,Port Authority Trans-Hudson Corporation,Active,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ",HR,DO,Rail,"11,384,114 ","11,416,543 ","12,619,305 ","12,691,023 ","12,176,451 ","12,162,572 ","12,194,371 ","12,202,951 ","12,294,698 ","12,631,792 ","11,766,634 ","11,592,162 ","13,290,009 ","12,988,435 ","12,865,445 ","12,859,005 ","12,941,314 ","13,319,661 ","12,744,198 ","12,631,773 ","12,565,499 ","12,233,328 ","12,526,893 ","12,905,160 ","3,104,303 "
20099,2099,Staten Island Rapid Transit Operating Authority,Active,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ",HR,DO,Rail,"2,147,971 ","2,145,732 ","2,176,582 ","2,102,308 ","2,160,106 ","2,178,053 ","2,371,980 ","2,336,835 ","2,324,814 ","2,399,045 ","2,392,234 ","2,441,952 ","2,457,247 ","2,575,715 ","2,637,976 ","2,634,342 ","2,625,350 ","2,545,007 ","2,005,981 ","2,349,663 ","2,444,612 ","2,540,404 ","2,644,089 ","2,960,120 ","773,031 "
20100,2100,MTA Long Island Rail Road,Active,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ",CR,DO,Rail,"28,989,700 ","57,258,076 ","58,269,799 ","59,176,459 ","61,273,582 ","63,038,511 ","64,794,193 ","65,360,026 ","64,090,537 ","62,924,505 ","61,840,606 ","65,179,687 ","67,224,820 ","67,522,769 ","66,763,465 ","67,046,480 ","66,508,822 ","67,942,021 ","61,766,650 ","58,398,960 ","62,918,402 ","76,530,483 ","78,229,282 ","79,661,425 ","20,026,547 "
20113,2113,Regional Transit Service,Active,Full Reporter,75664,"Rochester, NY",DR,DO,Bus,"1,249,988 ","1,359,127 ","1,682,467 ","1,938,183 ","1,935,369 ","1,636,705 ","1,514,757 ","1,469,453 ","1,383,501 ","1,319,322 ","1,354,129 ","1,410,662 ","1,471,658 ","1,527,591 ","1,513,344 ","1,694,234 ","1,762,768 ","1,850,387 ","1,244,663 ","2,119,748 ","2,769,168 ","2,980,208 ","2,913,983 ","2,769,779 ","645,932 "
20113,2113,Regional Transit Service,Active,Full Reporter,75664,"Rochester, NY",MB,DO,Bus,"6,730,106 ","6,623,206 ","6,639,988 ","6,053,623 ","5,272,580 ","5,195,705 ","5,183,140 ","5,153,528 ","5,083,127 ","5,004,971 ","5,029,455 ","5,084,002 ","5,144,340 ","5,057,350 ","5,140,633 ","5,201,129 ","5,120,352 ","5,200,607 ","4,757,957 ","4,416,267 ","4,457,797 ","4,493,065 ","4,492,001 ","4,440,880 ","1,084,842 "
20113,2113,Regional Transit Service,Inactive,Full Reporter,75664,"Rochester, NY",VP,PT,Bus,,,,,,,,,,,,,,,,"25,797 ","74,140 ","68,696 ","71,809 ","38,220 ","76,641 ",,,,
20116,2116,"Centro of Cayuga, Inc.",Inactive,Full Reporter,86302,"Syracuse, NY",DR,PT,Bus,49 ,8 ,,,,,,,,,,,,,,,,,,,,,,,
20116,2116,"Centro of Cayuga, Inc.",Inactive,Full Reporter,86302,"Syracuse, NY",MB,DO,Bus,"555,813 ","554,758 ","585,138 ","642,026 ","621,693 ","593,165 ","552,585 ","502,229 ","568,090 ","530,882 ","530,903 ","524,024 ","526,286 ","118,345 ",,,,,,,,,,,
